surveyname,questiontext,scaletype,varname,option1,option2,option3,option4,option5,option6,option7
mfq,Caring for people who have suffered is an important virtue.,radiogroup,mfq_1,Strongly Disagree,Disagree,Slightly Disagree,Netural,Slightly Agree,Agree,Strongly Agree
mfq,I believe that compassion for those who are suffering is one of the most crucial virtues.,radiogroup,mfq_2,Strongly Disagree,Disagree,Slightly Disagree,Netural,Slightly Agree,Agree,Strongly Agree
mfq,We should all care for people who are in emotional pain.,radiogroup,mfq_3,Strongly Disagree,Disagree,Slightly Disagree,Netural,Slightly Agree,Agree,Strongly Agree
mfq,I am empathetic toward those people who have suffered in their lives.,radiogroup,mfq_4,Strongly Disagree,Disagree,Slightly Disagree,Netural,Slightly Agree,Agree,Strongly Agree
mfq,Everyone should try to comfort people who are going through something hard.,radiogroup,mfq_5,Strongly Disagree,Disagree,Slightly Disagree,Netural,Slightly Agree,Agree,Strongly Agree
mfq,It pains me when I see someone ignoring the needs of another human being.,radiogroup,mfq_6,Strongly Disagree,Disagree,Slightly Disagree,Netural,Slightly Agree,Agree,Strongly Agree
mfq,The world would be a better place if everyone made the same amount of money.,radiogroup,mfq_7,Strongly Disagree,Disagree,Slightly Disagree,Netural,Slightly Agree,Agree,Strongly Agree
mfq,Our society would have fewer problems if people had the same income.,radiogroup,mfq_8,Strongly Disagree,Disagree,Slightly Disagree,Netural,Slightly Agree,Agree,Strongly Agree
mfq,I believe that everyone should be given the same quantity of resources in life.,radiogroup,mfq_9,Strongly Disagree,Disagree,Slightly Disagree,Netural,Slightly Agree,Agree,Strongly Agree
mfq,I believe it would be ideal if everyone in society wound up with roughly the same amount of money.,radiogroup,mfq_10,Strongly Disagree,Disagree,Slightly Disagree,Netural,Slightly Agree,Agree,Strongly Agree
mfq,"When people work together toward a common goal, they should share the rewards equally, even if some worked harder on it.",radiogroup,mfq_11,Strongly Disagree,Disagree,Slightly Disagree,Netural,Slightly Agree,Agree,Strongly Agree
mfq,I get upset when some people have a lot more money than others in my country.,radiogroup,mfq_12,Strongly Disagree,Disagree,Slightly Disagree,Netural,Slightly Agree,Agree,Strongly Agree
mfq,I think people who are more hard-working should end up with more money.,radiogroup,mfq_13,Strongly Disagree,Disagree,Slightly Disagree,Netural,Slightly Agree,Agree,Strongly Agree
mfq,I think people should be rewarded in proportion to what they contribute.,radiogroup,mfq_14,Strongly Disagree,Disagree,Slightly Disagree,Netural,Slightly Agree,Agree,Strongly Agree
mfq,The effort a worker puts into a job ought to be reflected in the size of a raise they receive.,radiogroup,mfq_15,Strongly Disagree,Disagree,Slightly Disagree,Netural,Slightly Agree,Agree,Strongly Agree
mfq,It makes me happy when people are recognized on their merits.,radiogroup,mfq_16,Strongly Disagree,Disagree,Slightly Disagree,Netural,Slightly Agree,Agree,Strongly Agree
mfq,"In a fair society, those who work hard should live with higher standards of living.",radiogroup,mfq_17,Strongly Disagree,Disagree,Slightly Disagree,Netural,Slightly Agree,Agree,Strongly Agree
mfq,I feel good when I see cheaters get caught and punished.,radiogroup,mfq_18,Strongly Disagree,Disagree,Slightly Disagree,Netural,Slightly Agree,Agree,Strongly Agree
mfq,I think children should be taught to be loyal to their country.,radiogroup,mfq_19,Strongly Disagree,Disagree,Slightly Disagree,Netural,Slightly Agree,Agree,Strongly Agree
mfq,It upsets me when people have no loyalty to their country.,radiogroup,mfq_20,Strongly Disagree,Disagree,Slightly Disagree,Netural,Slightly Agree,Agree,Strongly Agree
mfq,Everyone should love their own community.,radiogroup,mfq_21,Strongly Disagree,Disagree,Slightly Disagree,Netural,Slightly Agree,Agree,Strongly Agree
mfq,"Everyone should defend their country, if called upon. ",radiogroup,mfq_22,Strongly Disagree,Disagree,Slightly Disagree,Netural,Slightly Agree,Agree,Strongly Agree
mfq,Everyone should feel proud when a person in their community wins in an international competition.,radiogroup,mfq_23,Strongly Disagree,Disagree,Slightly Disagree,Netural,Slightly Agree,Agree,Strongly Agree
mfq,I believe the strength of a sports team comes from the loyalty of its members to each other.,radiogroup,mfq_24,Strongly Disagree,Disagree,Slightly Disagree,Netural,Slightly Agree,Agree,Strongly Agree
mfq,I think it is important for societies to cherish their traditional values.,radiogroup,mfq_25,Strongly Disagree,Disagree,Slightly Disagree,Netural,Slightly Agree,Agree,Strongly Agree
mfq,I feel that most traditions serve a valuable function in keeping society orderly,radiogroup,mfq_26,Strongly Disagree,Disagree,Slightly Disagree,Netural,Slightly Agree,Agree,Strongly Agree
mfq,I think obedience to parents is an important virtue. ,radiogroup,mfq_27,Strongly Disagree,Disagree,Slightly Disagree,Netural,Slightly Agree,Agree,Strongly Agree
mfq,We all need to learn from our elders. ,radiogroup,mfq_28,Strongly Disagree,Disagree,Slightly Disagree,Netural,Slightly Agree,Agree,Strongly Agree
mfq,I believe that one of the most important values to teach children is to have respect for authority.,radiogroup,mfq_29,Strongly Disagree,Disagree,Slightly Disagree,Netural,Slightly Agree,Agree,Strongly Agree
mfq,I think having a strong leader is good for society.,radiogroup,mfq_30,Strongly Disagree,Disagree,Slightly Disagree,Netural,Slightly Agree,Agree,Strongly Agree
mfq,"I think the human body should be treated like a temple, housing something sacred within.",radiogroup,mfq_31,Strongly Disagree,Disagree,Slightly Disagree,Netural,Slightly Agree,Agree,Strongly Agree
mfq,I believe chastity is an important virtue.,radiogroup,mfq_32,Strongly Disagree,Disagree,Slightly Disagree,Netural,Slightly Agree,Agree,Strongly Agree
mfq,It upsets me when people use foul language like it is nothing.,radiogroup,mfq_33,Strongly Disagree,Disagree,Slightly Disagree,Netural,Slightly Agree,Agree,Strongly Agree
mfq,If I found out that an acquaintance had an unusual but harmless sexual fetish I would feel uneasy about them,radiogroup,mfq_34,Strongly Disagree,Disagree,Slightly Disagree,Netural,Slightly Agree,Agree,Strongly Agree
mfq,People should try to use natural medicines rather than chemically identical human-made ones.,radiogroup,mfq_35,Strongly Disagree,Disagree,Slightly Disagree,Netural,Slightly Agree,Agree,Strongly Agree
mfq,I admire people who keep their virginity until marriage.,radiogroup,mfq_36,Strongly Disagree,Disagree,Slightly Disagree,Netural,Slightly Agree,Agree,Strongly Agree